DATE,DAY,MONTH,QUARTER,YEAR,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,NO. OF  TRADES
26-May-26,Tuesday,May,Q2,2026,EQ,1433.60,1465.80,1429.90,1435.50,1460.00,1458.70,1451.45,1854.00,1304.10,1725570.00,59248.00
25-May-26,Monday,May,Q2,2026,EQ,1429.40,1445.00,1421.20,1422.20,1438.50,1435.50,1435.74,1854.00,1304.10,887430.00,34000.00
22-May-26,Friday,May,Q2,2026,EQ,1425.00,1429.30,1406.10,1420.00,1424.20,1422.20,1419.23,1854.00,1304.10,654078.00,39851.00
21-May-26,Thursday,May,Q2,2026,EQ,1445.10,1450.00,1416.30,1439.00,1419.80,1420.00,1427.76,1854.00,1304.10,999422.00,46285.00
20-May-26,Wednesday,May,Q2,2026,EQ,1453.60,1476.50,1434.70,1467.10,1439.00,1439.00,1455.59,1854.00,1304.10,2216454.00,73204.00
19-May-26,Tuesday,May,Q2,2026,EQ,1446.30,1506.80,1445.60,1430.00,1467.00,1467.10,1483.54,1854.00,1304.10,6697277.00,144080.00
18-May-26,Monday,May,Q2,2026,EQ,1363.70,1437.70,1363.70,1370.50,1437.00,1430.00,1397.93,1854.00,1304.10,6204623.00,110537.00
15-May-26,Friday,May,Q2,2026,EQ,1350.00,1387.70,1350.00,1343.40,1367.50,1370.50,1372.51,1854.00,1304.10,5306932.00,83738.00
14-May-26,Thursday,May,Q2,2026,EQ,1370.00,1374.00,1327.30,1375.00,1343.00,1343.40,1344.78,1854.00,1304.10,2337353.00,119400.00
13-May-26,Wednesday,May,Q2,2026,EQ,1392.90,1399.90,1371.60,1392.90,1375.00,1375.00,1380.92,1854.00,1304.10,2142904.00,95312.00
12-May-26,Tuesday,May,Q2,2026,EQ,1447.00,1447.00,1388.90,1457.40,1396.00,1392.90,1403.24,1854.00,1304.10,1474910.00,86416.00
11-May-26,Monday,May,Q2,2026,EQ,1460.00,1475.40,1451.80,1463.00,1457.20,1457.40,1463.06,1854.00,1304.10,1348443.00,80484.00
8-May-26,Friday,May,Q2,2026,EQ,1453.50,1469.80,1448.40,1448.20,1460.90,1463.00,1463.73,1854.00,1304.10,1360644.00,65285.00
7-May-26,Thursday,May,Q2,2026,EQ,1467.00,1475.90,1444.00,1466.70,1450.00,1448.20,1453.27,1854.00,1304.10,1147147.00,62654.00
6-May-26,Wednesday,May,Q2,2026,EQ,1467.90,1480.60,1455.40,1452.20,1467.00,1466.70,1467.45,1854.00,1304.10,877900.00,47897.00
5-May-26,Tuesday,May,Q2,2026,EQ,1465.00,1483.80,1447.10,1471.60,1451.20,1452.20,1457.23,1854.00,1304.10,711081.00,47248.00
4-May-26,Monday,May,Q2,2026,EQ,1484.00,1492.40,1455.20,1473.50,1471.00,1471.60,1469.39,1854.00,1304.10,1483759.00,66785.00
30-Apr-26,Thursday,April,Q2,2026,EQ,1459.70,1482.00,1445.60,1459.80,1473.80,1473.50,1468.44,1854.00,1304.10,2635309.00,84169.00
29-Apr-26,Wednesday,April,Q2,2026,EQ,1414.00,1464.00,1405.20,1408.10,1454.70,1459.80,1454.60,1854.00,1304.10,3334783.00,92470.00
28-Apr-26,Tuesday,April,Q2,2026,EQ,1392.50,1413.00,1383.60,1396.10,1412.50,1408.10,1403.59,1854.00,1304.10,2009200.00,76680.00
27-Apr-26,Monday,April,Q2,2026,EQ,1362.90,1400.50,1360.20,1358.50,1398.00,1396.10,1388.13,1854.00,1304.10,1834277.00,117677.00
24-Apr-26,Friday,April,Q2,2026,EQ,1407.10,1426.70,1347.40,1421.50,1361.80,1358.50,1367.36,1854.00,1303.00,3693260.00,114149.00
23-Apr-26,Thursday,April,Q2,2026,EQ,1470.20,1473.90,1413.90,1462.60,1416.90,1421.50,1431.77,1854.00,1303.00,4101549.00,180095.00
22-Apr-26,Wednesday,April,Q2,2026,EQ,1463.40,1502.80,1404.10,1500.80,1463.30,1462.60,1452.85,1854.00,1303.00,11668801.00,311306.00
21-Apr-26,Tuesday,April,Q2,2026,EQ,1501.00,1510.90,1489.00,1504.40,1499.00,1500.80,1498.99,1854.00,1303.00,2001948.00,79418.00
20-Apr-26,Monday,April,Q2,2026,EQ,1510.90,1531.30,1496.20,1511.40,1497.50,1504.40,1510.74,1854.00,1303.00,1341688.00,68395.00
17-Apr-26,Friday,April,Q2,2026,EQ,1486.00,1522.50,1474.90,1491.00,1512.30,1511.40,1509.05,1854.00,1275.90,1859402.00,69744.00
16-Apr-26,Thursday,April,Q2,2026,EQ,1489.80,1511.50,1479.50,1483.80,1488.00,1491.00,1492.02,1854.00,1275.90,1768783.00,93003.00
15-Apr-26,Wednesday,April,Q2,2026,EQ,1455.00,1485.70,1450.00,1435.40,1482.00,1483.80,1472.67,1854.00,1275.90,1678561.00,68877.00
13-Apr-26,Monday,April,Q2,2026,EQ,1425.60,1439.40,1412.90,1440.20,1438.00,1435.40,1430.93,1854.00,1275.90,1285567.00,76150.00
10-Apr-26,Friday,April,Q2,2026,EQ,1461.00,1461.00,1426.00,1461.60,1438.90,1440.20,1436.12,1854.00,1209.40,2045026.00,70451.00
9-Apr-26,Thursday,April,Q2,2026,EQ,1452.00,1464.00,1433.60,1451.40,1461.10,1461.60,1452.31,1854.00,1209.40,1805451.00,71641.00
8-Apr-26,Wednesday,April,Q2,2026,EQ,1484.00,1493.00,1445.80,1473.40,1453.50,1451.40,1455.18,1854.00,1209.40,2736951.00,90321.00
7-Apr-26,Tuesday,April,Q2,2026,EQ,1435.00,1482.00,1431.30,1449.50,1473.50,1473.40,1470.56,1854.00,1209.40,1673236.00,84572.00
6-Apr-26,Monday,April,Q2,2026,EQ,1435.00,1464.90,1433.70,1441.50,1450.10,1449.50,1453.78,1854.00,1209.40,1476736.00,66711.00
2-Apr-26,Thursday,April,Q2,2026,EQ,1390.00,1447.00,1383.50,1404.50,1439.00,1441.50,1426.35,1854.00,1209.40,2501510.00,119296.00
1-Apr-26,Wednesday,April,Q2,2026,EQ,1412.60,1422.80,1395.00,1384.00,1405.70,1404.50,1409.17,1854.00,1209.40,1624500.00,69055.00
30-Mar-26,Monday,March,Q1,2026,EQ,1380.00,1422.00,1367.10,1391.60,1414.70,1384.00,1381.70,1854.00,1209.40,3048646.00,88125.00
27-Mar-26,Friday,March,Q1,2026,EQ,1395.00,1421.00,1385.50,1408.50,1386.70,1391.60,1400.57,1854.00,1209.40,2584016.00,109026.00
25-Mar-26,Wednesday,March,Q1,2026,EQ,1422.40,1428.70,1393.00,1432.70,1403.50,1408.50,1414.73,1854.00,1209.40,4938929.00,150452.00
24-Mar-26,Tuesday,March,Q1,2026,EQ,1414.00,1439.20,1400.00,1384.00,1433.00,1432.70,1421.96,1854.00,1209.40,3988700.00,120619.00
23-Mar-26,Monday,March,Q1,2026,EQ,1366.00,1414.60,1357.60,1384.80,1389.00,1384.00,1396.64,1854.00,1209.40,3647386.00,169241.00
20-Mar-26,Friday,March,Q1,2026,EQ,1360.70,1391.00,1355.60,1340.60,1386.30,1384.80,1383.79,1854.00,1209.40,3397016.00,103776.00
19-Mar-26,Thursday,March,Q1,2026,EQ,1364.10,1379.30,1331.10,1385.20,1350.00,1340.60,1351.10,1854.00,1209.40,1219405.00,80223.00
18-Mar-26,Wednesday,March,Q1,2026,EQ,1346.80,1404.70,1344.30,1341.80,1382.70,1385.20,1389.40,1854.00,1209.40,2969039.00,109356.00
17-Mar-26,Tuesday,March,Q1,2026,EQ,1340.90,1354.80,1318.20,1339.50,1339.70,1341.80,1343.20,1854.00,1209.40,1634005.00,89344.00
16-Mar-26,Monday,March,Q1,2026,EQ,1324.00,1346.40,1315.90,1332.80,1340.90,1339.50,1333.98,1854.00,1209.40,2062060.00,73989.00
13-Mar-26,Friday,March,Q1,2026,EQ,1342.50,1342.50,1319.80,1349.80,1332.00,1332.80,1330.09,1854.00,1209.40,1150005.00,63585.00
12-Mar-26,Thursday,March,Q1,2026,EQ,1334.40,1356.50,1327.00,1334.40,1354.30,1349.80,1346.09,1854.00,1209.40,3067753.00,130113.00
11-Mar-26,Wednesday,March,Q1,2026,EQ,1343.90,1355.40,1330.20,1336.60,1334.20,1334.40,1342.65,1854.00,1209.40,1499971.00,90461.00
10-Mar-26,Tuesday,March,Q1,2026,EQ,1340.00,1347.90,1316.70,1336.30,1339.00,1336.60,1329.63,1854.00,1209.40,1069187.00,72842.00
9-Mar-26,Monday,March,Q1,2026,EQ,1305.00,1340.40,1304.10,1331.70,1333.10,1336.30,1325.23,1854.00,1209.40,1032250.00,83963.00
6-Mar-26,Friday,March,Q1,2026,EQ,1330.00,1359.50,1326.60,1333.30,1335.60,1331.70,1338.62,1854.00,1209.40,1033627.00,72260.00
5-Mar-26,Thursday,March,Q1,2026,EQ,1358.00,1366.70,1319.30,1351.20,1332.50,1333.30,1334.17,1854.00,1209.40,1210010.00,88882.00
4-Mar-26,Wednesday,March,Q1,2026,EQ,1321.00,1362.20,1321.00,1345.40,1347.40,1351.20,1350.08,1854.00,1209.40,1820421.00,107669.00
2-Mar-26,Monday,March,Q1,2026,EQ,1335.00,1362.80,1322.20,1357.80,1344.50,1345.40,1344.23,1854.00,1209.40,1564363.00,80943.00
27-Feb-26,Friday,February,Q1,2026,EQ,1391.00,1410.40,1354.00,1361.80,1354.30,1357.80,1365.89,1854.00,1209.40,2601590.00,82116.00
26-Feb-26,Thursday,February,Q1,2026,EQ,1366.40,1396.60,1360.40,1361.80,1363.00,1361.80,1376.12,1854.00,1209.40,1587449.00,81031.00
25-Feb-26,Wednesday,February,Q1,2026,EQ,1355.10,1397.70,1351.40,1345.40,1356.00,1361.80,1370.52,1854.00,1209.40,2683571.00,79781.00
24-Feb-26,Tuesday,February,Q1,2026,EQ,1420.00,1423.20,1335.30,1440.90,1352.00,1345.40,1359.59,1854.00,1209.40,7441035.00,174695.00
23-Feb-26,Monday,February,Q1,2026,EQ,1459.50,1470.00,1430.00,1456.90,1437.20,1440.90,1442.59,1854.00,1209.40,2660793.00,88131.00
20-Feb-26,Friday,February,Q1,2026,EQ,1465.00,1477.30,1453.10,1479.30,1464.00,1456.90,1461.81,1854.00,1209.40,1599813.00,50639.00
19-Feb-26,Thursday,February,Q1,2026,EQ,1506.80,1532.80,1472.30,1504.80,1475.50,1479.30,1499.28,1854.00,1209.40,1108260.00,49139.00
18-Feb-26,Wednesday,February,Q1,2026,EQ,1524.60,1528.60,1481.70,1523.80,1500.00,1504.80,1496.22,1854.00,1209.40,1989222.00,87114.00
17-Feb-26,Tuesday,February,Q1,2026,EQ,1512.70,1547.50,1506.00,1512.70,1520.00,1523.80,1532.28,1854.00,1209.40,1781501.00,102592.00
16-Feb-26,Monday,February,Q1,2026,EQ,1526.00,1541.90,1494.70,1534.40,1513.90,1512.70,1513.42,1854.00,1209.40,1873472.00,52588.00
13-Feb-26,Friday,February,Q1,2026,EQ,1482.60,1548.00,1464.40,1536.60,1534.00,1534.40,1515.28,1854.00,1209.40,7058376.00,187637.00
12-Feb-26,Thursday,February,Q1,2026,EQ,1605.00,1611.00,1528.00,1634.40,1529.80,1536.60,1557.28,1854.00,1209.40,5343729.00,165502.00
11-Feb-26,Wednesday,February,Q1,2026,EQ,1655.00,1658.00,1625.00,1644.60,1625.10,1634.40,1640.42,1854.00,1209.40,1521823.00,70831.00
10-Feb-26,Tuesday,February,Q1,2026,EQ,1625.00,1658.50,1611.10,1621.70,1646.00,1644.60,1645.11,1854.00,1209.40,1527966.00,74788.00
9-Feb-26,Monday,February,Q1,2026,EQ,1625.00,1636.00,1613.60,1619.90,1619.00,1621.70,1622.08,1854.00,1209.40,933821.00,61890.00
6-Feb-26,Friday,February,Q1,2026,EQ,1645.00,1645.90,1600.00,1646.20,1616.00,1619.90,1616.39,1854.00,1209.40,1988639.00,93137.00
5-Feb-26,Thursday,February,Q1,2026,EQ,1630.10,1659.10,1630.00,1645.30,1645.00,1646.20,1642.63,1854.00,1209.40,1720981.00,78174.00
4-Feb-26,Wednesday,February,Q1,2026,EQ,1651.00,1656.00,1598.00,1716.50,1639.00,1645.30,1629.09,1854.00,1209.40,4823180.00,157441.00
3-Feb-26,Tuesday,February,Q1,2026,EQ,1845.00,1854.00,1712.70,1724.00,1712.70,1716.50,1738.83,1854.00,1209.40,2711705.00,109496.00
2-Feb-26,Monday,February,Q1,2026,EQ,1713.70,1729.60,1709.20,1717.30,1723.80,1724.00,1720.69,1776.60,1209.40,1030696.00,82350.00
1-Feb-26,Sunday,February,Q1,2026,EQ,1732.00,1766.40,1706.40,1743.10,1711.00,1717.30,1738.77,1776.60,1209.40,654184.00,31624.00
30-Jan-26,Friday,January,Q1,2026,EQ,1757.10,1760.00,1731.00,1768.40,1735.20,1743.10,1742.35,1776.60,1209.40,1672787.00,76348.00
29-Jan-26,Thursday,January,Q1,2026,EQ,1751.10,1776.60,1736.10,1762.90,1765.10,1768.40,1759.86,1776.60,1209.40,1893136.00,123063.00
28-Jan-26,Wednesday,January,Q1,2026,EQ,1748.00,1765.70,1739.90,1745.10,1760.00,1762.90,1754.07,1765.70,1209.40,2534826.00,122533.00
27-Jan-26,Tuesday,January,Q1,2026,EQ,1720.00,1749.00,1700.00,1701.10,1748.00,1745.10,1728.01,1749.00,1209.40,2932973.00,155304.00
23-Jan-26,Friday,January,Q1,2026,EQ,1699.00,1709.70,1689.20,1687.40,1700.70,1701.10,1702.19,1736.40,1209.40,1831521.00,85431.00
22-Jan-26,Thursday,January,Q1,2026,EQ,1695.00,1712.60,1682.70,1686.70,1690.30,1687.40,1697.63,1736.40,1209.40,3123567.00,94240.00
21-Jan-26,Wednesday,January,Q1,2026,EQ,1678.50,1694.30,1660.10,1678.50,1684.40,1686.70,1678.86,1736.40,1209.40,1766163.00,97250.00
20-Jan-26,Tuesday,January,Q1,2026,EQ,1715.00,1716.70,1675.00,1718.30,1675.70,1678.50,1684.25,1736.40,1209.40,1825981.00,107605.00
19-Jan-26,Monday,January,Q1,2026,EQ,1690.00,1736.00,1673.50,1670.50,1710.40,1718.30,1723.87,1736.40,1209.40,10621562.00,288462.00
16-Jan-26,Friday,January,Q1,2026,EQ,1600.00,1680.70,1600.00,1588.50,1672.00,1670.50,1653.10,1736.40,1209.40,3733401.00,115095.00
14-Jan-26,Wednesday,January,Q1,2026,EQ,1612.90,1613.00,1583.10,1614.80,1592.20,1588.50,1598.90,1736.40,1209.40,1570385.00,48075.00
13-Jan-26,Tuesday,January,Q1,2026,EQ,1582.00,1622.90,1582.00,1586.10,1610.00,1614.80,1608.54,1736.40,1209.40,2573438.00,69930.00
12-Jan-26,Monday,January,Q1,2026,EQ,1572.10,1594.00,1562.80,1582.20,1585.00,1586.10,1581.41,1736.40,1209.40,652320.00,48293.00
9-Jan-26,Friday,January,Q1,2026,EQ,1583.00,1606.40,1578.10,1577.90,1583.20,1582.20,1585.41,1736.40,1209.40,1410053.00,61199.00
8-Jan-26,Thursday,January,Q1,2026,EQ,1625.00,1632.80,1574.50,1625.20,1575.90,1577.90,1593.93,1736.40,1209.40,1657201.00,69892.00
7-Jan-26,Wednesday,January,Q1,2026,EQ,1599.00,1633.90,1595.80,1601.80,1630.00,1625.20,1622.36,1736.40,1209.40,1309781.00,50984.00
6-Jan-26,Tuesday,January,Q1,2026,EQ,1603.90,1625.40,1596.10,1596.90,1599.80,1601.80,1604.84,1736.40,1209.40,570335.00,36268.00
5-Jan-26,Monday,January,Q1,2026,EQ,1601.90,1610.10,1576.10,1612.00,1598.80,1596.90,1594.95,1736.40,1209.40,907810.00,44510.00
2-Jan-26,Friday,January,Q1,2026,EQ,1611.00,1619.10,1601.90,1607.70,1612.20,1612.00,1611.82,1773.60,1209.40,637080.00,32770.00
1-Jan-26,Thursday,January,Q1,2026,EQ,1591.00,1613.50,1587.20,1590.90,1607.00,1607.70,1603.99,1773.60,1209.40,565878.00,25823.00
31-Dec-25,Wednesday,December,Q4,2025,EQ,1614.80,1614.80,1588.30,1604.60,1591.00,1590.90,1595.36,1773.60,1209.40,729913.00,30316.00
30-Dec-25,Tuesday,December,Q4,2025,EQ,1614.90,1616.20,1599.00,1612.40,1602.80,1604.60,1604.79,1773.60,1209.40,1973547.00,72189.00
29-Dec-25,Monday,December,Q4,2025,EQ,1614.00,1629.80,1610.10,1612.30,1613.90,1612.40,1618.31,1773.60,1209.40,891096.00,51834.00
26-Dec-25,Friday,December,Q4,2025,EQ,1630.50,1633.70,1608.00,1631.50,1612.50,1612.30,1616.32,1773.60,1209.40,461192.00,25723.00
24-Dec-25,Wednesday,December,Q4,2025,EQ,1630.00,1636.60,1615.30,1633.00,1630.50,1631.50,1627.09,1773.60,1209.40,955523.00,38935.00
23-Dec-25,Tuesday,December,Q4,2025,EQ,1646.50,1646.50,1628.80,1646.70,1631.50,1633.00,1637.34,1773.60,1209.40,1161166.00,56624.00
22-Dec-25,Monday,December,Q4,2025,EQ,1615.90,1649.80,1612.80,1612.50,1642.50,1646.70,1641.31,1773.60,1209.40,1466208.00,56797.00
19-Dec-25,Friday,December,Q4,2025,EQ,1611.00,1624.00,1595.00,1605.60,1609.00,1612.50,1608.85,1793.50,1209.40,1802793.00,75222.00
18-Dec-25,Thursday,December,Q4,2025,EQ,1581.00,1608.80,1574.60,1579.40,1605.00,1605.60,1592.49,1793.50,1209.40,1748780.00,65399.00
17-Dec-25,Wednesday,December,Q4,2025,EQ,1578.20,1586.20,1570.30,1578.20,1578.10,1579.40,1579.01,1793.50,1209.40,582251.00,44178.00
16-Dec-25,Tuesday,December,Q4,2025,EQ,1570.00,1580.30,1564.70,1575.40,1575.00,1578.20,1574.82,1793.50,1209.40,999338.00,57143.00
15-Dec-25,Monday,December,Q4,2025,EQ,1571.00,1588.70,1567.70,1578.40,1575.50,1575.40,1579.48,1793.50,1209.40,784781.00,53193.00
12-Dec-25,Friday,December,Q4,2025,EQ,1575.00,1580.50,1558.70,1568.20,1580.10,1578.40,1574.06,1807.70,1209.40,754479.00,43146.00
11-Dec-25,Thursday,December,Q4,2025,EQ,1550.00,1572.00,1541.00,1550.80,1569.00,1568.20,1557.68,1807.70,1209.40,1248064.00,50867.00
10-Dec-25,Wednesday,December,Q4,2025,EQ,1563.00,1572.90,1548.20,1561.60,1548.20,1550.80,1561.29,1807.70,1209.40,735586.00,49443.00
9-Dec-25,Tuesday,December,Q4,2025,EQ,1579.10,1586.00,1559.00,1591.80,1561.50,1561.60,1569.82,1807.70,1209.40,1533609.00,85473.00
8-Dec-25,Monday,December,Q4,2025,EQ,1581.00,1595.70,1572.70,1570.80,1590.00,1591.80,1585.24,1807.70,1209.40,2833786.00,76551.00
5-Dec-25,Friday,December,Q4,2025,EQ,1567.10,1583.00,1556.60,1562.30,1569.00,1570.80,1574.72,1807.70,1209.40,2223397.00,76997.00
4-Dec-25,Thursday,December,Q4,2025,EQ,1545.10,1577.90,1541.10,1541.70,1565.00,1562.30,1564.97,1807.70,1209.40,2422663.00,86962.00
3-Dec-25,Wednesday,December,Q4,2025,EQ,1537.90,1550.80,1530.30,1536.70,1540.60,1541.70,1542.79,1807.70,1209.40,2142830.00,77614.00
2-Dec-25,Tuesday,December,Q4,2025,EQ,1523.10,1539.00,1520.00,1529.50,1533.00,1536.70,1531.26,1807.70,1209.40,1754978.00,88212.00
1-Dec-25,Monday,December,Q4,2025,EQ,1515.30,1532.00,1509.70,1517.30,1528.40,1529.50,1525.13,1807.70,1209.40,1527101.00,76463.00
28-Nov-25,Friday,November,Q4,2025,EQ,1515.80,1525.30,1503.70,1509.80,1515.00,1517.30,1518.56,1807.70,1209.40,1247146.00,55162.00
27-Nov-25,Thursday,November,Q4,2025,EQ,1523.00,1532.00,1505.00,1520.40,1506.00,1509.80,1514.36,1807.70,1209.40,1426194.00,65941.00
